iter	Passed	Remaining
0	148	44264
1	150	22360
2	151	14979
3	152	11285
4	153	9073
5	154	7591
6	155	6528
7	157	5733
8	158	5139
9	160	4648
10	161	4248
11	163	3921
12	164	3639
13	166	3393
14	167	3182
15	168	2997
16	170	2841
17	172	2696
18	173	2562
19	174	2446
20	175	2335
21	176	2235
22	177	2143
23	179	2059
24	180	1985
25	181	1914
26	182	1849
27	184	1788
28	185	1732
29	186	1679
30	187	1629
31	188	1582
32	190	1544
33	192	1504
34	193	1465
35	194	1429
36	196	1395
37	197	1363
38	198	1330
39	199	1299
40	201	1270
41	202	1241
42	203	1216
43	205	1193
44	206	1169
45	207	1147
46	208	1125
47	210	1103
48	211	1081
49	212	1060
50	213	1041
51	214	1021
52	215	1003
53	216	985
54	217	968
55	218	951
56	219	936
57	221	923
58	222	909
59	223	895
60	224	880
61	225	867
62	226	853
63	227	840
64	228	827
65	230	815
66	231	803
67	231	791
68	232	779
69	234	769
70	235	759
71	236	749
72	237	739
73	239	730
74	240	721
75	241	712
76	242	702
77	243	693
78	244	684
79	245	675
80	246	666
81	247	658
82	264	691
83	265	682
84	266	674
85	268	667
86	269	658
87	270	650
88	271	643
89	272	635
90	273	627
91	274	620
92	275	612
93	276	606
94	277	599
95	278	592
96	279	585
97	280	578
98	281	572
99	283	566
100	284	560
101	285	554
102	286	548
103	287	542
104	288	536
105	290	530
106	291	525
107	292	520
108	294	515
109	295	509
110	296	504
111	297	499
112	299	495
113	300	490
114	302	486
115	303	481
116	304	476
117	305	471
118	307	467
119	308	462
120	310	459
121	313	457
122	315	454
123	317	450
124	319	446
125	320	442
126	322	438
127	323	435
128	325	431
129	326	427
130	328	423
131	329	419
132	331	415
133	332	412
134	334	409
135	336	405
136	337	402
137	339	398
138	340	394
139	342	390
140	343	387
141	344	383
142	345	379
143	346	375
144	348	372
145	349	368
146	350	364
147	351	361
148	352	357
149	354	354
150	355	351
151	357	347
152	358	344
153	359	340
154	361	337
155	362	334
156	363	331
157	364	327
158	366	324
159	367	321
160	368	318
161	369	315
162	371	311
163	372	308
164	373	305
165	374	302
166	375	299
167	377	296
168	378	293
169	380	290
170	381	287
171	382	284
172	383	281
173	384	278
174	386	275
175	387	272
176	388	270
177	389	267
178	391	264
179	392	261
180	393	258
181	395	256
182	396	253
183	397	250
184	398	247
185	400	245
186	401	242
187	402	239
188	403	237
189	404	234
190	406	231
191	407	229
192	408	226
193	410	224
194	411	221
195	413	219
196	414	216
197	415	214
198	416	211
199	418	209
200	419	206
201	420	204
202	421	201
203	422	198
204	423	196
205	425	194
206	426	191
207	428	189
208	429	187
209	431	184
210	432	182
211	433	180
212	434	177
213	435	175
214	436	172
215	438	170
216	439	167
217	440	165
218	441	163
219	442	160
220	443	158
221	445	156
222	446	154
223	447	151
224	448	149
225	449	147
226	450	144
227	452	142
228	453	140
229	454	138
230	455	136
231	456	133
232	458	131
233	459	129
234	460	127
235	462	125
236	463	123
237	464	120
238	465	118
239	467	116
240	468	114
241	469	112
242	470	110
243	472	108
244	473	106
245	475	104
246	476	102
247	477	100
248	478	98
249	480	96
250	481	93
251	482	91
252	483	89
253	484	87
254	486	85
255	487	83
256	489	81
257	490	79
258	491	77
259	492	75
260	494	73
261	495	71
262	496	69
263	497	67
264	498	65
265	500	63
266	501	61
267	502	60
268	504	58
269	505	56
270	506	54
271	508	52
272	509	50
273	510	48
274	511	46
275	512	44
276	513	42
277	514	40
278	515	38
279	517	36
280	519	35
281	520	33
282	521	31
283	522	29
284	523	27
285	525	25
286	526	23
287	527	21
288	528	20
289	529	18
290	530	16
291	531	14
292	532	12
293	534	10
294	535	9
295	536	7
296	537	5
297	538	3
298	539	1
299	541	0
